instance,instance_sha256,backend,wc,wo,left,right,continuity_left,overtime_left,similarity_left,split_groups_left,continuity_right,overtime_right,similarity_right,split_groups_right,different_caregiver_services,different_slot_services,different_caregiver_groups,workload_l1,parent_sha256,parent_instance,family,target_rho,realized_rho,normal_fraction,anchor,continuity_right_minus_left,overtime_right_minus_left,similarity_right_minus_left,different_objective_vector
instances/research_depth_load_sweep/rho0.85_normal0.7/instance_u40_a20_v5_seed1002_critical.txt,937d8ade9985b51178578a6b3d3245ab0c304fea9dfc9f413e8a69865b5741a8,gurobi-mip,1,1,lex-overtime,weighted,1,35,701,1,13,40,743,13,69,111,47,12,aee0a6b7ec9777049ee75f53a345d8b1b5d4d3de33e8d3f6c9559f510624b169,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v5_seed1002_critical.txt,u40_seed1002,0.85,0.847457627118644,0.7,False,12,5,42,True
instances/research_depth_load_sweep/rho0.55_normal0.7/instance_u30_a25_v5_seed1002_critical.txt,dc6f4635a10e76d9c5a09102959cbdfb74e62547e3720f7f6ed409bd1d4eeb17,gurobi-mip,1,1,lex-cos,lex-overtime,0,0,539,0,0,0,539,0,0,0,0,0,13d35da4af1d246d1dc9e9e69e18e81522824e99442b070094b3ee6de84cff54,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a25_v5_seed1002_critical.txt,u30_seed1002,0.55,0.5494505494505495,0.7,False,0,0,0,False
instances/research_depth_load_sweep/rho0.55_normal0.7/instance_u30_a25_v5_seed1002_critical.txt,dc6f4635a10e76d9c5a09102959cbdfb74e62547e3720f7f6ed409bd1d4eeb17,gurobi-mip,1,1,lex-cos,weighted,0,0,539,0,8,1,573,8,69,79,43,24,13d35da4af1d246d1dc9e9e69e18e81522824e99442b070094b3ee6de84cff54,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a25_v5_seed1002_critical.txt,u30_seed1002,0.55,0.5494505494505495,0.7,False,8,1,34,True
instances/research_depth_load_sweep/rho0.55_normal0.7/instance_u30_a25_v5_seed1002_critical.txt,dc6f4635a10e76d9c5a09102959cbdfb74e62547e3720f7f6ed409bd1d4eeb17,gurobi-mip,1,1,lex-overtime,weighted,0,0,539,0,8,1,573,8,69,79,43,24,13d35da4af1d246d1dc9e9e69e18e81522824e99442b070094b3ee6de84cff54,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a25_v5_seed1002_critical.txt,u30_seed1002,0.55,0.5494505494505495,0.7,False,8,1,34,True
instances/research_depth_load_sweep/rho0.55_normal0.7/instance_u40_a15_v5_seed1001_critical.txt,408a39e8398880087fc0ce7c70ab92e0d8b25d84cee777939140d18056151cfd,gurobi-mip,1,1,lex-cos,lex-overtime,0,0,755,0,0,0,755,0,0,0,0,0,addefcd65569a464f6ade877201060bec8b3edf54c9784bd4a2ce47e7fa65a0a,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v5_seed1001_critical.txt,u40_seed1001,0.55,0.5494505494505495,0.7,False,0,0,0,False
instances/research_depth_load_sweep/rho0.55_normal0.7/instance_u40_a15_v5_seed1001_critical.txt,408a39e8398880087fc0ce7c70ab92e0d8b25d84cee777939140d18056151cfd,gurobi-mip,1,1,lex-cos,weighted,0,0,755,0,4,0,764,4,45,103,28,18,addefcd65569a464f6ade877201060bec8b3edf54c9784bd4a2ce47e7fa65a0a,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v5_seed1001_critical.txt,u40_seed1001,0.55,0.5494505494505495,0.7,False,4,0,9,True
instances/research_depth_load_sweep/rho0.55_normal0.7/instance_u40_a15_v5_seed1001_critical.txt,408a39e8398880087fc0ce7c70ab92e0d8b25d84cee777939140d18056151cfd,gurobi-mip,1,1,lex-overtime,weighted,0,0,755,0,4,0,764,4,45,103,28,18,addefcd65569a464f6ade877201060bec8b3edf54c9784bd4a2ce47e7fa65a0a,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v5_seed1001_critical.txt,u40_seed1001,0.55,0.5494505494505495,0.7,False,4,0,9,True
instances/research_depth_load_sweep/rho0.98_normal0.85/instance_u40_a25_v4_seed1002_critical.txt,e671aff021989c33eb97b38f204ebbef575de204a6ae86f7280dc4362eb9ac9c,gurobi-mip,1,1,lex-cos,lex-overtime,3,21,521,3,3,21,521,3,0,0,0,0,5c9a8a3dcc3d1fe985ff86f0f6765ea477a79927e1fcb4a8a0be3ecb89ce8cfe,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v4_seed1002_critical.txt,u40_seed1002,0.98,0.975609756097561,0.85,False,0,0,0,False
instances/research_depth_load_sweep/rho0.98_normal0.85/instance_u40_a25_v4_seed1002_critical.txt,e671aff021989c33eb97b38f204ebbef575de204a6ae86f7280dc4362eb9ac9c,gurobi-mip,1,1,lex-cos,weighted,3,21,521,3,14,21,561,14,53,76,38,0,5c9a8a3dcc3d1fe985ff86f0f6765ea477a79927e1fcb4a8a0be3ecb89ce8cfe,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v4_seed1002_critical.txt,u40_seed1002,0.98,0.975609756097561,0.85,False,11,0,40,True
instances/research_depth_load_sweep/rho0.98_normal0.85/instance_u40_a25_v4_seed1002_critical.txt,e671aff021989c33eb97b38f204ebbef575de204a6ae86f7280dc4362eb9ac9c,gurobi-mip,1,1,lex-overtime,weighted,3,21,521,3,14,21,561,14,53,76,38,0,5c9a8a3dcc3d1fe985ff86f0f6765ea477a79927e1fcb4a8a0be3ecb89ce8cfe,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v4_seed1002_critical.txt,u40_seed1002,0.98,0.975609756097561,0.85,False,11,0,40,True
instances/research_depth_load_sweep/rho0.85_normal0.7/instance_u30_a20_v5_seed1003_critical.txt,883846ea906101b00f7b7f2fbc0a890b319e74f877ce0090ca0d33c52fcc21d7,gurobi-mip,1,1,lex-cos,lex-overtime,0,26,514,0,0,26,514,0,0,0,0,0,65de3dfdc16f9c773e9874c2357071bf31732b49485a995a839ed1f4d259a558,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v5_seed1003_critical.txt,u30_seed1003,0.85,0.847457627118644,0.7,False,0,0,0,False
instances/research_depth_load_sweep/rho0.85_normal0.7/instance_u30_a20_v5_seed1003_critical.txt,883846ea906101b00f7b7f2fbc0a890b319e74f877ce0090ca0d33c52fcc21d7,gurobi-mip,1,1,lex-cos,weighted,0,26,514,0,7,27,528,7,34,73,21,18,65de3dfdc16f9c773e9874c2357071bf31732b49485a995a839ed1f4d259a558,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v5_seed1003_critical.txt,u30_seed1003,0.85,0.847457627118644,0.7,False,7,1,14,True
