"instance_name","ORIGINAL_status","ORIGINAL_best","ORIGINAL_elapsed_s","ORIGINAL_vars","SN-both-none_status","SN-both-none_best","SN-both-none_elapsed_s","SN-both-none_vars","SN-both-ss_status","SN-both-ss_best","SN-both-ss_elapsed_s","SN-both-ss_vars","SN-none-ss_status","SN-none-ss_best","SN-none-ss_elapsed_s","SN-none-ss_vars","TOT-both-none_status","TOT-both-none_best","TOT-both-none_elapsed_s","TOT-both-none_vars","TOT-both-ss_status","TOT-both-ss_best","TOT-both-ss_elapsed_s","TOT-both-ss_vars","TOT-none-none_status","TOT-none-none_best","TOT-none-none_elapsed_s","TOT-none-none_vars","TOT-none-ss_status","TOT-none-ss_best","TOT-none-ss_elapsed_s","TOT-none-ss_vars"
"instance_30_10_4_35","UNSATISFIABLE","","0,047","0","UNSATISFIABLE","","0,055","0","UNSATISFIABLE","","0,056","0","UNSATISFIABLE","","0,047","0","UNSATISFIABLE","","0,052","0","UNSATISFIABLE","","0,054","0","UNSATISFIABLE","","0,044","0","UNSATISFIABLE","","0,047","0"
"instance_30_10_4_36","OPTIMUM","401","23,237","17953","OPTIMUM","401","27,578","24128","OPTIMUM","401","26,86","24139","OPTIMUM","401","22,794","18345","OPTIMUM","401","23,56","9912","OPTIMUM","401","21,252","9923","OPTIMUM","401","25,268","6893","OPTIMUM","401","21,37","7285"
"instance_30_10_4_37","OPTIMUM","440","11,784","15129","OPTIMUM","440","17,467","22366","OPTIMUM","440","14,601","22366","OPTIMUM","440","17,128","15550","OPTIMUM","440","11,076","9813","OPTIMUM","440","10,867","9813","OPTIMUM","440","9,004","6318","OPTIMUM","440","13,791","6739"
"instance_30_10_4_38","UNSATISFIABLE","","0,051","0","UNSATISFIABLE","","0,068","0","UNSATISFIABLE","","0,067","0","UNSATISFIABLE","","0,054","0","UNSATISFIABLE","","0,064","0","UNSATISFIABLE","","0,065","0","UNSATISFIABLE","","0,051","0","UNSATISFIABLE","","0,052","0"
"instance_30_10_4_39","UNSATISFIABLE","","0,046","0","UNSATISFIABLE","","0,056","0","UNSATISFIABLE","","0,056","0","UNSATISFIABLE","","0,049","0","UNSATISFIABLE","","0,053","0","UNSATISFIABLE","","0,054","0","UNSATISFIABLE","","0,049","0","UNSATISFIABLE","","0,05","0"
"instance_30_10_4_4","OPTIMUM","427","9,991","14595","OPTIMUM","427","11,267","21770","OPTIMUM","427","10,432","21790","OPTIMUM","427","10,116","15032","OPTIMUM","427","8,131","9388","OPTIMUM","427","6,766","9408","OPTIMUM","427","8,253","5914","OPTIMUM","427","6,562","6351"
"instance_30_10_4_40","UNSATISFIABLE","","0,058","0","UNSATISFIABLE","","0,082","0","UNSATISFIABLE","","0,093","0","UNSATISFIABLE","","0,062","0","UNSATISFIABLE","","0,069","0","UNSATISFIABLE","","0,07","0","UNSATISFIABLE","","0,059","0","UNSATISFIABLE","","0,051","0"
"instance_30_10_4_41","OPTIMUM","350","7,301","8502","OPTIMUM","350","9,66","15610","OPTIMUM","350","9,013","15634","OPTIMUM","350","8,055","8928","OPTIMUM","350","9,081","7617","OPTIMUM","350","7,582","7641","OPTIMUM","350","9,483","4270","OPTIMUM","350","7,585","4696"
"instance_30_10_4_42","UNSATISFIABLE","","0,049","0","UNSATISFIABLE","","0,065","0","UNSATISFIABLE","","0,065","0","UNSATISFIABLE","","0,051","0","UNSATISFIABLE","","0,063","0","UNSATISFIABLE","","0,065","0","UNSATISFIABLE","","0,05","0","UNSATISFIABLE","","0,053","0"
"instance_30_10_4_43","OPTIMUM","412","17,594","18422","OPTIMUM","412","16,644","24965","OPTIMUM","412","13,069","24971","OPTIMUM","412","19,076","18822","OPTIMUM","412","21,269","9509","OPTIMUM","412","20,306","9515","OPTIMUM","412","13,573","6319","OPTIMUM","412","16,907","6719"
"instance_30_10_4_44","UNSATISFIABLE","","0,088","0","UNSATISFIABLE","","0,125","0","UNSATISFIABLE","","0,116","0","UNSATISFIABLE","","0,08","0","UNSATISFIABLE","","0,086","0","UNSATISFIABLE","","0,097","0","UNSATISFIABLE","","0,067","0","UNSATISFIABLE","","0,069","0"
"instance_30_10_4_45","OPTIMUM","365","5,55","14403","OPTIMUM","365","2,566","21803","OPTIMUM","365","5,81","21811","OPTIMUM","365","2,349","14833","OPTIMUM","365","7,321","9031","OPTIMUM","365","6,472","9039","OPTIMUM","365","7,792","5480","OPTIMUM","365","6,287","5910"
"instance_30_10_4_46","UNSATISFIABLE","","0,028","0","UNSATISFIABLE","","0,051","0","UNSATISFIABLE","","0,051","0","UNSATISFIABLE","","0,029","0","UNSATISFIABLE","","0,047","0","UNSATISFIABLE","","0,048","0","UNSATISFIABLE","","0,027","0","UNSATISFIABLE","","0,03","0"
"instance_30_10_4_47","OPTIMUM","395","11,594","11712","OPTIMUM","395","10,964","18969","OPTIMUM","395","7,923","18986","OPTIMUM","395","9,11","12154","OPTIMUM","395","10,686","8528","OPTIMUM","395","8,22","8545","OPTIMUM","395","8,826","4993","OPTIMUM","395","5,436","5435"
"instance_30_10_4_48","OPTIMUM","375","6,257","10175","OPTIMUM","375","7,648","17133","OPTIMUM","375","7,545","17133","OPTIMUM","375","8,519","10589","OPTIMUM","375","7,239","7845","OPTIMUM","375","6,288","7845","OPTIMUM","375","5,24","4368","OPTIMUM","375","5,483","4782"
"instance_30_10_4_49","UNSATISFIABLE","","0,086","0","UNSATISFIABLE","","0,108","0","UNSATISFIABLE","","0,109","0","UNSATISFIABLE","","0,089","0","UNSATISFIABLE","","0,104","0","UNSATISFIABLE","","0,105","0","UNSATISFIABLE","","0,079","0","UNSATISFIABLE","","0,081","0"
"instance_30_10_4_5","OPTIMUM","418","20,581","13334","OPTIMUM","418","18,111","19570","OPTIMUM","418","12,334","19574","OPTIMUM","418","11,049","13721","OPTIMUM","418","15,22","8660","OPTIMUM","418","13,155","8664","OPTIMUM","418","17,292","5528","OPTIMUM","418","11,95","5915"
