"","cfg_id","label","cardinality","ic","sb","total_runs","optimum_n","timeout_n","unsat_n","error_n","optimum_pct","mean_elapsed_s","median_elapsed_s","par2_s","mean_solve_s","mean_variables","mean_hard_clauses","mean_soft_clauses","mean_best_value","mean_similarity","mean_continuity","mean_overtime","std_best_value"
"","7","TOT-both-none","totalizer","both","none","300","232","1","67","0","77,3","22,6927","20,6988","1649,549","22,6132","13765,32","132174,5","2376,25","481,2543","486,1897","4,9267","0,0086","61,4247"
"","8","TOT-both-ss","totalizer","both","slot-service","300","232","1","67","0","77,3","22,6119","20,8412","1649,487","22,5314","13773,73","132211,2","2376,25","481,2543","486,1897","4,9353","0","61,4247"
"","","","","","","","","","","","","","","","","","","","","","","",""
"30_25_4","1","ORIGINAL","sorting-network","none","none","350","281","2","67","0","80,3","23,2383","22,3788","1438,086","23,1699","27452,61","112418,2","2547,171","476,3594","480,9217","4,5623","0","56,8763"
"","2","SN-none-ss","sorting-network","none","slot-service","350","281","2","67","0","80,3","23,5976","22,7937","1438,374","23,526","27794,81","114356,2","2547,171","476,3594","480,8897","4,5196","0,0107","56,8763"
"","3","SN-both-none","sorting-network","both","none","350","282","1","67","0","80,6","25,8671","24,6659","1419,699","25,7827","35481,22","137542,4","2546,865","476,5745","481,1809","4,5993","0,0071","56,8898"
"","4","SN-both-ss","sorting-network","both","slot-service","350","282","1","67","0","80,6","25,9752","25,0632","1419,786","25,8892","35489,7","137579,2","2546,865","476,5745","481,1135","4,5284","0,0106","56,8898"
"","5","TOT-none-none","totalizer","none","none","350","282","1","67","0","80,6","21,6797","20,4489","1416,325","21,6088","10491,95","119896,8","2546,865","476,5745","481,1028","4,5213","0,0071","56,8898"
"","6","TOT-none-ss","totalizer","none","slot-service","350","281","2","67","0","80,3","21,37","20,3941","1436,586","21,2962","10834","121818,4","2547,171","476,3594","480,8648","4,4982","0,0071","56,8763"
"","7","TOT-both-none","totalizer","both","none","350","282","1","67","0","80,6","22,7363","20,8558","1417,176","22,6526","14251,46","139350,2","2546,865","476,5745","481,2021","4,6206","0,0071","56,8898"
"","8","TOT-both-ss","totalizer","both","slot-service","350","282","1","67","0","80,6","22,7088","20,7562","1417,154","22,624","14259,94","139387,1","2546,865","476,5745","481,156","4,5816","0","56,8898"
"","","","","","","","","","","","","","","","","","","","","","","",""
"30_25_5","1","ORIGINAL","sorting-network","none","none","300","231","2","67","0","77","24,7879","23,3927","1675,087","24,7178","27693,84","113112","2531,035","483,9567","488,5671","4,5931","0,0173","65,0626"
"","2","SN-none-ss","sorting-network","none","slot-service","300","231","2","67","0","77","25,3246","23,8748","1675,5","25,2514","28050,48","115113,4","2531,035","483,9567","488,4719","4,4805","0,0346","65,0626"
"","3","SN-both-none","sorting-network","both","none","300","232","1","67","0","77,3","27,3226","26,0644","1653,13","27,2365","35963,6","138936,7","2530,733","484,1853","488,8276","4,6293","0,0129","65,015"
"","4","SN-both-ss","sorting-network","both","slot-service","300","232","1","67","0","77,3","27,2678","25,8709","1653,087","27,1798","35971,95","138973,2","2530,733","484,1853","488,7241","4,5259","0,0129","65,015"
