"cfg_id","label","instance_name","cardinality","ic","sb","status","elapsed_s","solve_s","variables","hard_clauses","soft_clauses","best_value","similarity","continuity","overtime","coverage"
"8","TOT-both-ss","instance_30_20_4_26","totalizer","both","slot-service","OPTIMUM","14,52964","14,44033","14674","142580","2849","461","462","1","0","120"
"8","TOT-both-ss","instance_30_20_4_27","totalizer","both","slot-service","OPTIMUM","17,33934","17,24684","15041","152979","2912","463","463","0","0","120"
"8","TOT-both-ss","instance_30_20_4_28","totalizer","both","slot-service","OPTIMUM","10,68511","10,59974","13836","133460","2670","456","456","0","0","120"
"8","TOT-both-ss","instance_30_20_4_29","totalizer","both","slot-service","OPTIMUM","31,00125","30,9113","14837","147674","2850","469","471","2","0","120"
"8","TOT-both-ss","instance_30_20_4_3","totalizer","both","slot-service","OPTIMUM","24,4463","24,35603","13818","134651","2639","457","462","5","0","120"
"8","TOT-both-ss","instance_30_20_4_30","totalizer","both","slot-service","OPTIMUM","8,561994","8,46906","14503","154602","2701","467","468","1","0","120"
"8","TOT-both-ss","instance_30_20_4_31","totalizer","both","slot-service","OPTIMUM","5,787707","5,721049","12515","115213","2487","455","456","1","0","120"
"8","TOT-both-ss","instance_30_20_4_32","totalizer","both","slot-service","OPTIMUM","20,37086","20,27231","15664","173212","2998","455","457","2","0","120"
"8","TOT-both-ss","instance_30_20_4_33","totalizer","both","slot-service","OPTIMUM","14,05851","13,98693","13031","118682","2615","441","441","0","0","120"
"8","TOT-both-ss","instance_30_20_4_34","totalizer","both","slot-service","OPTIMUM","23,48747","23,3997","14466","142545","2759","461","463","2","0","120"
"8","TOT-both-ss","instance_30_20_4_35","totalizer","both","slot-service","OPTIMUM","10,39527","10,32584","13443","116011","2484","433","442","9","0","120"
"8","TOT-both-ss","instance_30_20_4_36","totalizer","both","slot-service","OPTIMUM","17,20492","17,13614","13127","120338","2395","442","448","6","0","120"
"8","TOT-both-ss","instance_30_20_4_37","totalizer","both","slot-service","OPTIMUM","24,3625","24,26561","15300","165818","2732","464","464","0","0","120"
"8","TOT-both-ss","instance_30_20_4_38","totalizer","both","slot-service","OPTIMUM","14,09156","14,00436","14053","139048","2582","446","447","1","0","120"
"8","TOT-both-ss","instance_30_20_4_39","totalizer","both","slot-service","OPTIMUM","23,74691","23,67418","13919","130469","2698","467","468","1","0","120"
"8","TOT-both-ss","instance_30_20_4_4","totalizer","both","slot-service","OPTIMUM","19,77841","19,70741","13969","125858","2672","435","439","4","0","120"
"8","TOT-both-ss","instance_30_20_4_40","totalizer","both","slot-service","OPTIMUM","20,57226","20,47355","15744","168806","2988","465","466","1","0","120"
"8","TOT-both-ss","instance_30_20_4_41","totalizer","both","slot-service","OPTIMUM","20,25147","20,182","12762","115783","2582","455","459","4","0","120"
"8","TOT-both-ss","instance_30_20_4_42","totalizer","both","slot-service","OPTIMUM","14,92799","14,85869","13233","118549","2613","443","448","5","0","120"
"8","TOT-both-ss","instance_30_20_4_43","totalizer","both","slot-service","OPTIMUM","7,972205","7,916174","10986","84642","2288","430","433","3","0","120"
"8","TOT-both-ss","instance_30_20_4_44","totalizer","both","slot-service","OPTIMUM","18,66424","18,60145","12269","101698","2471","447","449","2","0","120"
"8","TOT-both-ss","instance_30_20_4_45","totalizer","both","slot-service","OPTIMUM","25,83079","25,74444","13755","136580","2680","460","462","2","0","120"
"8","TOT-both-ss","instance_30_20_4_46","totalizer","both","slot-service","OPTIMUM","12,42082","12,3547","12921","109863","2581","443","449","6","0","120"
"8","TOT-both-ss","instance_30_20_4_47","totalizer","both","slot-service","OPTIMUM","14,33695","14,24799","14709","140878","2727","459","464","5","0","120"
"8","TOT-both-ss","instance_30_20_4_48","totalizer","both","slot-service","OPTIMUM","28,69815","28,6092","14178","136046","2635","445","449","4","0","120"
"8","TOT-both-ss","instance_30_20_4_49","totalizer","both","slot-service","OPTIMUM","16,81515","16,74438","13697","121571","2524","415","424","9","0","120"
"8","TOT-both-ss","instance_30_20_4_5","totalizer","both","slot-service","OPTIMUM","26,22114","26,15208","13468","120957","2559","442","448","6","0","120"
"8","TOT-both-ss","instance_30_20_4_50","totalizer","both","slot-service","OPTIMUM","8,112118","8,0473","12911","113839","2642","437","439","2","0","120"
"8","TOT-both-ss","instance_30_20_4_6","totalizer","both","slot-service","OPTIMUM","25,26998","25,20262","13163","114177","2593","442","447","5","0","120"
"8","TOT-both-ss","instance_30_20_4_7","totalizer","both","slot-service","OPTIMUM","14,36513","14,29194","13749","128253","2571","431","436","5","0","120"
"8","TOT-both-ss","instance_30_20_4_8","totalizer","both","slot-service","OPTIMUM","19,80377","19,73997","12672","108865","2518","445","450","5","0","120"
"8","TOT-both-ss","instance_30_20_4_9","totalizer","both","slot-service","OPTIMUM","24,35163","24,28638","13180","110726","2549","431","438","7","0","120"
"8","TOT-both-ss","instance_30_20_5_1","totalizer","both","slot-service","OPTIMUM","9,924548","9,812972","18061","193983","3148","545","552","7","0","120"
"8","TOT-both-ss","instance_30_20_5_10","totalizer","both","slot-service","OPTIMUM","17,07687","16,9782","16668","160249","3092","531","537","6","0","120"
"8","TOT-both-ss","instance_30_20_5_11","totalizer","both","slot-service","OPTIMUM","13,38512","13,2735","18497","196834","3277","549","554","5","0","120"
"8","TOT-both-ss","instance_30_20_5_12","totalizer","both","slot-service","OPTIMUM","20,5765","20,46286","18398","201274","3050","560","563","3","0","120"
"8","TOT-both-ss","instance_30_20_5_13","totalizer","both","slot-service","OPTIMUM","15,21348","15,10185","18272","197791","3302","569","575","6","0","120"
"8","TOT-both-ss","instance_30_20_5_14","totalizer","both","slot-service","OPTIMUM","25,55542","25,39341","21263","262663","3621","586","589","3","0","120"
"8","TOT-both-ss","instance_30_20_5_15","totalizer","both","slot-service","OPTIMUM","36,67792","36,57727","16154","154761","2983","552","557","5","0","120"
"8","TOT-both-ss","instance_30_20_5_16","totalizer","both","slot-service","OPTIMUM","27,56812","27,45736","17705","186297","3115","575","582","7","0","120"
"8","TOT-both-ss","instance_30_20_5_17","totalizer","both","slot-service","OPTIMUM","27,51583","27,40674","18182","189382","3244","530","532","2","0","120"
"8","TOT-both-ss","instance_30_20_5_18","totalizer","both","slot-service","OPTIMUM","43,68176","43,54913","20351","251593","3330","568","577","9","0","120"
"8","TOT-both-ss","instance_30_20_5_19","totalizer","both","slot-service","OPTIMUM","11,85868","11,74804","17528","191014","3049","551","554","3","0","120"
"8","TOT-both-ss","instance_30_20_5_2","totalizer","both","slot-service","OPTIMUM","39,5456","39,43991","17715","179042","3189","540","546","6","0","120"
"8","TOT-both-ss","instance_30_20_5_20","totalizer","both","slot-service","OPTIMUM","14,0936","13,97999","18586","196319","3294","559","566","7","0","120"
"8","TOT-both-ss","instance_30_20_5_21","totalizer","both","slot-service","OPTIMUM","31,47421","31,36644","17886","181841","3170","526","535","9","0","120"
"8","TOT-both-ss","instance_30_20_5_22","totalizer","both","slot-service","OPTIMUM","51,0333","50,91966","18528","197875","3343","561","568","7","0","120"
"8","TOT-both-ss","instance_30_20_5_23","totalizer","both","slot-service","OPTIMUM","23,46735","23,37518","15180","141336","2845","545","551","6","0","120"
"8","TOT-both-ss","instance_30_20_5_24","totalizer","both","slot-service","OPTIMUM","19,41874","19,30216","18635","209964","3110","572","575","3","0","120"
"8","TOT-both-ss","instance_30_20_5_25","totalizer","both","slot-service","OPTIMUM","26,80349","26,69039","17910","184921","3140","565","571","6","0","120"
"8","TOT-both-ss","instance_30_20_5_26","totalizer","both","slot-service","OPTIMUM","32,6293","32,52629","16905","169084","3024","561","567","6","0","120"
"8","TOT-both-ss","instance_30_20_5_27","totalizer","both","slot-service","OPTIMUM","26,71271","26,6123","16713","161897","3202","516","531","15","0","120"
"8","TOT-both-ss","instance_30_20_5_28","totalizer","both","slot-service","OPTIMUM","30,72876","30,63543","15696","139710","2857","523","536","13","0","120"
