instance_name;lex-overtime__ORIGINAL_status;lex-overtime__ORIGINAL_weighted_reference;lex-overtime__ORIGINAL_stages;lex-overtime__ORIGINAL_elapsed_s;lex-overtime__ORIGINAL_vars;lex-overtime__SN-both-none_status;lex-overtime__SN-both-none_weighted_reference;lex-overtime__SN-both-none_stages;lex-overtime__SN-both-none_elapsed_s;lex-overtime__SN-both-none_vars;lex-overtime__SN-both-ss_status;lex-overtime__SN-both-ss_weighted_reference;lex-overtime__SN-both-ss_stages;lex-overtime__SN-both-ss_elapsed_s;lex-overtime__SN-both-ss_vars;lex-overtime__SN-none-ss_status;lex-overtime__SN-none-ss_weighted_reference;lex-overtime__SN-none-ss_stages;lex-overtime__SN-none-ss_elapsed_s;lex-overtime__SN-none-ss_vars;lex-overtime__TOT-both-none_status;lex-overtime__TOT-both-none_weighted_reference;lex-overtime__TOT-both-none_stages;lex-overtime__TOT-both-none_elapsed_s;lex-overtime__TOT-both-none_vars;lex-overtime__TOT-both-ss_status;lex-overtime__TOT-both-ss_weighted_reference;lex-overtime__TOT-both-ss_stages;lex-overtime__TOT-both-ss_elapsed_s;lex-overtime__TOT-both-ss_vars;lex-overtime__TOT-none-none_status;lex-overtime__TOT-none-none_weighted_reference;lex-overtime__TOT-none-none_stages;lex-overtime__TOT-none-none_elapsed_s;lex-overtime__TOT-none-none_vars;lex-overtime__TOT-none-ss_status;lex-overtime__TOT-none-ss_weighted_reference;lex-overtime__TOT-none-ss_stages;lex-overtime__TOT-none-ss_elapsed_s;lex-overtime__TOT-none-ss_vars
instance_30_10_4_46;UNSATISFIABLE;None;;0.025;0;UNSATISFIABLE;None;;0.041;0;UNSATISFIABLE;None;;0.039;0;UNSATISFIABLE;None;;0.028;0;UNSATISFIABLE;None;;0.033;0;UNSATISFIABLE;None;;0.034;0;UNSATISFIABLE;None;;0.027;0;UNSATISFIABLE;None;;0.029;0
instance_30_10_4_47;OPTIMUM;387.0;0 | 0 | 387;50.592;81433;OPTIMUM;387.0;0 | 0 | 387;51.058;88690;OPTIMUM;387.0;0 | 0 | 387;50.987;88707;OPTIMUM;387.0;0 | 0 | 387;50.611;81875;OPTIMUM;387.0;0 | 0 | 387;50.492;78249;OPTIMUM;387.0;0 | 0 | 387;50.493;78266;OPTIMUM;387.0;0 | 0 | 387;41.748;74714;OPTIMUM;387.0;0 | 0 | 387;46.468;75156
instance_30_10_4_48;OPTIMUM;373.0;0 | 0 | 373;3.648;76596;OPTIMUM;373.0;0 | 0 | 373;3.832;83554;OPTIMUM;373.0;0 | 0 | 373;3.85;83554;OPTIMUM;373.0;0 | 0 | 373;3.664;77010;OPTIMUM;373.0;0 | 0 | 373;3.667;74266;OPTIMUM;373.0;0 | 0 | 373;3.668;74266;OPTIMUM;373.0;0 | 0 | 373;3.552;70789;OPTIMUM;373.0;0 | 0 | 373;3.602;71203
instance_30_10_4_49;UNSATISFIABLE;None;;0.056;0;UNSATISFIABLE;None;;0.077;0;UNSATISFIABLE;None;;0.066;0;UNSATISFIABLE;None;;0.048;0;UNSATISFIABLE;None;;0.069;0;UNSATISFIABLE;None;;0.068;0;UNSATISFIABLE;None;;0.046;0;UNSATISFIABLE;None;;0.05;0
instance_30_10_4_5;OPTIMUM;414.0;0 | 1 | 415;42.713;80482;OPTIMUM;414.0;0 | 1 | 415;43.109;86718;OPTIMUM;414.0;0 | 1 | 415;44.069;86722;OPTIMUM;414.0;0 | 1 | 415;41.784;80869;OPTIMUM;414.0;0 | 1 | 415;42.585;75808;OPTIMUM;414.0;0 | 1 | 415;43.551;75812;OPTIMUM;414.0;0 | 1 | 415;42.402;72676;OPTIMUM;414.0;0 | 1 | 415;43.467;73063
instance_30_10_4_50;UNSATISFIABLE;None;;0.039;0;UNSATISFIABLE;None;;0.068;0;UNSATISFIABLE;None;;0.065;0;UNSATISFIABLE;None;;0.039;0;UNSATISFIABLE;None;;0.058;0;UNSATISFIABLE;None;;0.06;0;UNSATISFIABLE;None;;0.039;0;UNSATISFIABLE;None;;0.052;0
instance_30_10_4_6;OPTIMUM;384.0;0 | 0 | 384;65.504;76984;OPTIMUM;384.0;0 | 0 | 384;65.899;84315;OPTIMUM;384.0;0 | 0 | 384;65.935;84315;OPTIMUM;384.0;0 | 0 | 384;65.504;76984;OPTIMUM;384.0;0 | 0 | 384;65.37;71280;OPTIMUM;384.0;0 | 0 | 384;65.346;71280;OPTIMUM;384.0;0 | 0 | 384;66.078;67740;OPTIMUM;384.0;0 | 0 | 384;66.095;67740
instance_30_10_4_7;UNSATISFIABLE;None;;0.037;0;UNSATISFIABLE;None;;0.059;0;UNSATISFIABLE;None;;0.064;0;UNSATISFIABLE;None;;0.038;0;UNSATISFIABLE;None;;0.04;0;UNSATISFIABLE;None;;0.04;0;UNSATISFIABLE;None;;0.038;0;UNSATISFIABLE;None;;0.038;0
instance_30_10_4_8;OPTIMUM;398.0;0 | 1 | 399;53.01;70002;OPTIMUM;398.0;0 | 1 | 399;53.279;76837;OPTIMUM;398.0;0 | 1 | 399;55.258;76846;OPTIMUM;398.0;0 | 1 | 399;54.993;70414;OPTIMUM;398.0;0 | 1 | 399;55.786;63790;OPTIMUM;398.0;0 | 1 | 399;55.795;63799;OPTIMUM;398.0;0 | 1 | 399;51.403;60419;OPTIMUM;398.0;0 | 1 | 399;54.658;60831
instance_30_10_4_9;UNSATISFIABLE;None;;0.037;0;UNSATISFIABLE;None;;0.062;0;UNSATISFIABLE;None;;0.066;0;UNSATISFIABLE;None;;0.04;0;UNSATISFIABLE;None;;0.04;0;UNSATISFIABLE;None;;0.052;0;UNSATISFIABLE;None;;0.036;0;UNSATISFIABLE;None;;0.04;0
