instance,instance_sha256,method,maxsat_configuration,maxsat_status,gurobi_status,cplex_status,commercial_status_agreement,commercial_objective_agreement_when_optimal,maxsat_status_agreement_when_decided,maxsat_objective_agreement_when_optimal,maxsat_elapsed_seconds,gurobi_elapsed_seconds,cplex_elapsed_seconds,cplex_over_gurobi_runtime
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_25_5_1.txt,7527917283309cb995dc3b6df322612ab8825060e28978a427022c00c583ca99,lex-cos,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,148.2720349,0.52150673,1.066748675,2.045512768358713
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_25_5_1.txt,7527917283309cb995dc3b6df322612ab8825060e28978a427022c00c583ca99,weighted,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,33.22067568,0.16150401,0.258120809,1.598231579513103
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_20_4_1.txt,79923b863781f16d7454ee58c30f4f907406b3bc9267a30b84288f75affb2358,lex-cos,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,125.1211813,0.253752903,0.41119204,1.6204427028761914
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_20_4_1.txt,79923b863781f16d7454ee58c30f4f907406b3bc9267a30b84288f75affb2358,weighted,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,38.38895051,0.095215914,0.154417399,1.6217604023629917
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_20_5_3.txt,8b57c7c5f2041e8a86e22ed850cedae080f72c24861a8aac967f4d12f815cee8,lex-cos,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,149.4593075,0.314019818,0.768859342,2.448442098007967
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_20_5_3.txt,8b57c7c5f2041e8a86e22ed850cedae080f72c24861a8aac967f4d12f815cee8,weighted,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,60.8684646,0.113615687,0.192585504,1.6950608589815592
instances/paperInstances/TXT_10-25_4-5_U30/instance_30_15_4_2.txt,8c591928ac318099edcb620831b2c120f77b89a737b99ab8da3551f3ba8bb800,lex-cos,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,70.83920777,0.106633025,0.167409632,1.5699604508078056
instances/paperInstances/TXT_10-25_4-5_U30/instance_30_15_4_2.txt,8c591928ac318099edcb620831b2c120f77b89a737b99ab8da3551f3ba8bb800,weighted,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,6.784824067,0.051968314,0.061536213,1.184110244561715
instances/paperInstances/TXT_10-25_4-5_U30/instance_30_10_5_2.txt,94babc1f3be6d34ed96a77652d95cbcc8e5fd65867a338a9f99f8e6635562a3d,lex-cos,totalizer-none-none,UNSATISFIABLE,INFEASIBLE,INFEASIBLE,True,,True,,0.077867548,0.018979398,0.01593706,0.8397031349466405
instances/paperInstances/TXT_10-25_4-5_U30/instance_30_10_5_2.txt,94babc1f3be6d34ed96a77652d95cbcc8e5fd65867a338a9f99f8e6635562a3d,weighted,totalizer-none-none,UNSATISFIABLE,INFEASIBLE,INFEASIBLE,True,,True,,0.096920724,0.019048909,0.017866538,0.9379297260541274
