instance_sha256,backend,wc,wo,instance,slack_from,slack_to,overtime_reduction,similarity_change
2e89d655657e6565c5ecb975872229f2b89227e9d8d4becfc0d4e18894748b91,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v4_seed1003_critical.txt,1,2,0,4
34bd64e4677b21f310faa4406545db874dca6ae220c9a65e8a35f01abe1b0955,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v4_seed1002_critical.txt,0,1,0,9
34bd64e4677b21f310faa4406545db874dca6ae220c9a65e8a35f01abe1b0955,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v4_seed1002_critical.txt,1,2,0,6
395a48f8a39788bea86b6f70fb9ec6a2a924a9f8f08e8639adaf51dba4e7ae85,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a10_v4_seed1003_critical.txt,0,1,0,8
395a48f8a39788bea86b6f70fb9ec6a2a924a9f8f08e8639adaf51dba4e7ae85,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a10_v4_seed1003_critical.txt,1,2,0,3
3df9ad93fd31450b47bc05e23b939b69e8ff446e817f1dae19bc71c5f2d8d73d,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v4_seed1003_critical.txt,0,1,0,8
3df9ad93fd31450b47bc05e23b939b69e8ff446e817f1dae19bc71c5f2d8d73d,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v4_seed1003_critical.txt,1,2,0,3
4e512df627d17612d29d4a3e5f36bd78eb17641a1923ef501751875f036a5ae9,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v5_seed1003_critical.txt,0,1,0,10
4e512df627d17612d29d4a3e5f36bd78eb17641a1923ef501751875f036a5ae9,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v5_seed1003_critical.txt,1,2,0,7
51df0f9f4a354e14ce203c3399ff72e9f90e0370b7b497467427e1d198dd119e,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a25_v5_seed1001_critical.txt,0,1,0,3
51df0f9f4a354e14ce203c3399ff72e9f90e0370b7b497467427e1d198dd119e,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a25_v5_seed1001_critical.txt,1,2,0,1
559a4cbe53b4c6b0b9bb730eba6ec962c70e2de70ab1b20d1f420367127f3bf9,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a10_v5_seed1002_critical.txt,0,1,0,8
559a4cbe53b4c6b0b9bb730eba6ec962c70e2de70ab1b20d1f420367127f3bf9,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a10_v5_seed1002_critical.txt,1,2,0,6
5c9a8a3dcc3d1fe985ff86f0f6765ea477a79927e1fcb4a8a0be3ecb89ce8cfe,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v4_seed1002_critical.txt,0,1,0,7
5c9a8a3dcc3d1fe985ff86f0f6765ea477a79927e1fcb4a8a0be3ecb89ce8cfe,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v4_seed1002_critical.txt,1,2,0,5
60b67ddc948fc1382700a5f01082aad04d5d3d19d708c2351412f697e9f9ead7,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v4_seed1003_critical.txt,0,1,0,10
