run_id	instance_sha256	instance	backend	formulation	method	delta	result	exit_code
a2c520838343_partial_coverage_cplex-mip_mip-e_epsilon_delta_0.025	a2c520838343a9b5ded99baa7fabf5b70d8d1667639344e540d180205c790857	tests/instances/partial_coverage.txt	cplex-mip	mip-e	epsilon	0.025	experiments/results/commercial_main/a2c520838343_partial_coverage_cplex-mip_mip-e_epsilon_delta_0.025.json	1
a2c520838343_partial_coverage_cplex-mip_mip-e_epsilon_delta_0.05	a2c520838343a9b5ded99baa7fabf5b70d8d1667639344e540d180205c790857	tests/instances/partial_coverage.txt	cplex-mip	mip-e	epsilon	0.05	experiments/results/commercial_main/a2c520838343_partial_coverage_cplex-mip_mip-e_epsilon_delta_0.05.json	1
a2c520838343_partial_coverage_cplex-mip_mip-e_epsilon_delta_0.10	a2c520838343a9b5ded99baa7fabf5b70d8d1667639344e540d180205c790857	tests/instances/partial_coverage.txt	cplex-mip	mip-e	epsilon	0.10	experiments/results/commercial_main/a2c520838343_partial_coverage_cplex-mip_mip-e_epsilon_delta_0.10.json	1
a2c520838343_partial_coverage_cplex-cp_cp-t_weighted	a2c520838343a9b5ded99baa7fabf5b70d8d1667639344e540d180205c790857	tests/instances/partial_coverage.txt	cplex-cp	cp-t	weighted	-	experiments/results/commercial_main/a2c520838343_partial_coverage_cplex-cp_cp-t_weighted.json	1
a2c520838343_partial_coverage_cplex-cp_cp-t_lex-continuity	a2c520838343a9b5ded99baa7fabf5b70d8d1667639344e540d180205c790857	tests/instances/partial_coverage.txt	cplex-cp	cp-t	lex-continuity	-	experiments/results/commercial_main/a2c520838343_partial_coverage_cplex-cp_cp-t_lex-continuity.json	1
a2c520838343_partial_coverage_cplex-cp_cp-t_lex-overtime	a2c520838343a9b5ded99baa7fabf5b70d8d1667639344e540d180205c790857	tests/instances/partial_coverage.txt	cplex-cp	cp-t	lex-overtime	-	experiments/results/commercial_main/a2c520838343_partial_coverage_cplex-cp_cp-t_lex-overtime.json	1
a2c520838343_partial_coverage_cplex-cp_cp-t_epsilon_delta_0	a2c520838343a9b5ded99baa7fabf5b70d8d1667639344e540d180205c790857	tests/instances/partial_coverage.txt	cplex-cp	cp-t	epsilon	0	experiments/results/commercial_main/a2c520838343_partial_coverage_cplex-cp_cp-t_epsilon_delta_0.json	1
a2c520838343_partial_coverage_cplex-cp_cp-t_epsilon_delta_0.01	a2c520838343a9b5ded99baa7fabf5b70d8d1667639344e540d180205c790857	tests/instances/partial_coverage.txt	cplex-cp	cp-t	epsilon	0.01	experiments/results/commercial_main/a2c520838343_partial_coverage_cplex-cp_cp-t_epsilon_delta_0.01.json	1
a2c520838343_partial_coverage_cplex-cp_cp-t_epsilon_delta_0.025	a2c520838343a9b5ded99baa7fabf5b70d8d1667639344e540d180205c790857	tests/instances/partial_coverage.txt	cplex-cp	cp-t	epsilon	0.025	experiments/results/commercial_main/a2c520838343_partial_coverage_cplex-cp_cp-t_epsilon_delta_0.025.json	1
a2c520838343_partial_coverage_cplex-cp_cp-t_epsilon_delta_0.05	a2c520838343a9b5ded99baa7fabf5b70d8d1667639344e540d180205c790857	tests/instances/partial_coverage.txt	cplex-cp	cp-t	epsilon	0.05	experiments/results/commercial_main/a2c520838343_partial_coverage_cplex-cp_cp-t_epsilon_delta_0.05.json	1
