instance,instance_sha256,method,sorting_status,totalizer_status,both_proved,both_optimum,status_match_when_decided,objective_match_when_optimum,sorting_elapsed_seconds,totalizer_elapsed_seconds,speedup_sorting_over_totalizer
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_25_4_3.txt,d31d5ebd793f9506703adf88bb1487f27f39f7dae72343efbed4ef3ba17d6c70,weighted,OPTIMUM,OPTIMUM,True,True,True,True,39.30718366,38.38675393,1.023977795353013
instances/paperInstances/TXT_10-25_4-5_U30/instance_30_10_4_2.txt,d4b94057d3915bff8ac5bc679ae05633cba383cf590d2544c705fcdc82eec9d3,weighted,UNSATISFIABLE,UNSATISFIABLE,True,False,True,,0.080932642,0.073010606,1.108505276616934
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_10_5_2.txt,d6b2b901f5eb953ed1411f5c26e102aa18c9d02d8f8f9b6fd33a375fb7651fb6,weighted,OPTIMUM,OPTIMUM,True,True,True,True,107.6788593,91.59524257,1.1755944553311095
instances/paperInstances/TXT_10-25_4-5_U30/instance_30_20_4_3.txt,d836a8343c2be620c6bb619dc689993bef40386269bb2d0dea8cbaf6c0fb7536,weighted,OPTIMUM,OPTIMUM,True,True,True,True,24.45373234,28.78446399,0.8495462117514316
instances/paperInstances/TXT_10-25_4-5_U30/instance_30_15_4_1.txt,d99bf3865499e2e1bfd8a0533ad957e78af08f8b1911715f1e3b209f9b6ca2f4,weighted,OPTIMUM,OPTIMUM,True,True,True,True,22.36387914,17.05419479,1.3113418379103667
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_20_4_2.txt,de44769e74cee33d3ec1545dea64186717cd08da748ecafbf69a47dd550b30ed,weighted,OPTIMUM,OPTIMUM,True,True,True,True,30.14055954,23.15518651,1.3016763880085025
instances/paperInstances/TXT_10-25_4-5_U30/instance_30_25_5_3.txt,de711e9fdc068fce44517e3b622238b8979d5f15b53688aae30f64a084fe1e6a,weighted,OPTIMUM,OPTIMUM,True,True,True,True,42.66499578,37.45413251,1.1391265241187667
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_25_5_3.txt,eec87b212b1dc7cd157a3095a3e3e042d6263a505c9a6326aeb99d555c89688c,weighted,OPTIMUM,OPTIMUM,True,True,True,True,54.72500926,59.63354067,0.9176884123456156
instances/paperInstances/TXT_10-25_4-5_U30/instance_30_10_4_1.txt,f7f869e3d712742822a508d5706212db8714488787cbc8d9261762829b2d4977,weighted,OPTIMUM,OPTIMUM,True,True,True,True,11.81521056,12.71466836,0.9292582571143052
instances/paperInstances/TXT_10-25_4-5_U30/instance_30_20_5_2.txt,f879421a3977baa179f2e8cd512259579b371e9367fa7171eba9ad769a4f6de4,weighted,OPTIMUM,OPTIMUM,True,True,True,True,39.99386788,33.50202123,1.193774775719704
instances/paperInstances/TXT_10-25_4-5_U30/instance_30_20_5_3.txt,00c04d1a2f35c7911db04db07c768739e96fddd1bbda7e4c2f9ce73cae559448,lex-cos,OPTIMUM,OPTIMUM,True,True,True,True,87.70683089,89.32652139,0.9818677535540826
instances/paperInstances/TXT_10-25_4-5_U30/instance_30_20_4_2.txt,025718ae2c24c8d0e31e9ac519c74dfe0ec011694ca01fea084f5967a34d77cb,lex-cos,OPTIMUM,OPTIMUM,True,True,True,True,81.02290523,81.4344411,0.9949464150003235
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_15_4_1.txt,08753e549b448dbbe278003c40c649f97101629198f9d13290f91a66f104ad08,lex-cos,OPTIMUM,OPTIMUM,True,True,True,True,109.9594514,112.1104615,0.9808134756451788
instances/paperInstances/TXT_10-25_4-5_U30/instance_30_25_5_1.txt,119414c1057b93e4d5b9f962d9e443c5e6cc573ebda819842b68244174911d76,lex-cos,OPTIMUM,OPTIMUM,True,True,True,True,99.8993381,102.0921086,0.9785216455015995
instances/paperInstances/TXT_10-25_4-5_U30/instance_30_15_5_3.txt,143aa4738d0e95ce9f6c07e285723a9971c6b3dc893447dcab654fd02469eef2,lex-cos,OPTIMUM,OPTIMUM,True,True,True,True,82.43374057,84.82310147,0.9718312481082165
