instance_sha256,backend,wc,wo,instance,slack,status,continuity_reference,continuity,overtime,similarity
4e512df627d17612d29d4a3e5f36bd78eb17641a1923ef501751875f036a5ae9,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v5_seed1003_critical.txt,1,OPTIMUM,0,1,0,676
4e512df627d17612d29d4a3e5f36bd78eb17641a1923ef501751875f036a5ae9,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v5_seed1003_critical.txt,2,OPTIMUM,0,2,0,683
51df0f9f4a354e14ce203c3399ff72e9f90e0370b7b497467427e1d198dd119e,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a25_v5_seed1001_critical.txt,0,OPTIMUM,0,0,0,537
51df0f9f4a354e14ce203c3399ff72e9f90e0370b7b497467427e1d198dd119e,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a25_v5_seed1001_critical.txt,1,OPTIMUM,0,1,0,540
51df0f9f4a354e14ce203c3399ff72e9f90e0370b7b497467427e1d198dd119e,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a25_v5_seed1001_critical.txt,2,OPTIMUM,0,2,0,541
559a4cbe53b4c6b0b9bb730eba6ec962c70e2de70ab1b20d1f420367127f3bf9,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a10_v5_seed1002_critical.txt,0,OPTIMUM,4,4,0,668
559a4cbe53b4c6b0b9bb730eba6ec962c70e2de70ab1b20d1f420367127f3bf9,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a10_v5_seed1002_critical.txt,1,OPTIMUM,4,5,0,676
559a4cbe53b4c6b0b9bb730eba6ec962c70e2de70ab1b20d1f420367127f3bf9,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a10_v5_seed1002_critical.txt,2,OPTIMUM,4,6,0,682
5c9a8a3dcc3d1fe985ff86f0f6765ea477a79927e1fcb4a8a0be3ecb89ce8cfe,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v4_seed1002_critical.txt,0,OPTIMUM,1,1,0,549
5c9a8a3dcc3d1fe985ff86f0f6765ea477a79927e1fcb4a8a0be3ecb89ce8cfe,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v4_seed1002_critical.txt,1,OPTIMUM,1,2,0,556
5c9a8a3dcc3d1fe985ff86f0f6765ea477a79927e1fcb4a8a0be3ecb89ce8cfe,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v4_seed1002_critical.txt,2,OPTIMUM,1,3,0,561
60b67ddc948fc1382700a5f01082aad04d5d3d19d708c2351412f697e9f9ead7,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v4_seed1003_critical.txt,0,OPTIMUM,0,0,0,524
60b67ddc948fc1382700a5f01082aad04d5d3d19d708c2351412f697e9f9ead7,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v4_seed1003_critical.txt,1,OPTIMUM,0,1,0,534
