instance_name;lex-continuity__ORIGINAL_status;lex-continuity__ORIGINAL_weighted_reference;lex-continuity__ORIGINAL_stages;lex-continuity__ORIGINAL_elapsed_s;lex-continuity__ORIGINAL_vars;lex-continuity__SN-both-none_status;lex-continuity__SN-both-none_weighted_reference;lex-continuity__SN-both-none_stages;lex-continuity__SN-both-none_elapsed_s;lex-continuity__SN-both-none_vars;lex-continuity__SN-both-ss_status;lex-continuity__SN-both-ss_weighted_reference;lex-continuity__SN-both-ss_stages;lex-continuity__SN-both-ss_elapsed_s;lex-continuity__SN-both-ss_vars;lex-continuity__SN-none-ss_status;lex-continuity__SN-none-ss_weighted_reference;lex-continuity__SN-none-ss_stages;lex-continuity__SN-none-ss_elapsed_s;lex-continuity__SN-none-ss_vars;lex-continuity__TOT-both-none_status;lex-continuity__TOT-both-none_weighted_reference;lex-continuity__TOT-both-none_stages;lex-continuity__TOT-both-none_elapsed_s;lex-continuity__TOT-both-none_vars;lex-continuity__TOT-both-ss_status;lex-continuity__TOT-both-ss_weighted_reference;lex-continuity__TOT-both-ss_stages;lex-continuity__TOT-both-ss_elapsed_s;lex-continuity__TOT-both-ss_vars;lex-continuity__TOT-none-none_status;lex-continuity__TOT-none-none_weighted_reference;lex-continuity__TOT-none-none_stages;lex-continuity__TOT-none-none_elapsed_s;lex-continuity__TOT-none-none_vars;lex-continuity__TOT-none-ss_status;lex-continuity__TOT-none-ss_weighted_reference;lex-continuity__TOT-none-ss_stages;lex-continuity__TOT-none-ss_elapsed_s;lex-continuity__TOT-none-ss_vars
instance_30_10_4_30;TIMEOUT;None;1 | 362;300.136;77911;TIMEOUT;None;1 | 362;300.135;84678;TIMEOUT;None;1 | 362;300.139;84678;TIMEOUT;None;1 | 362;300.134;78323;TIMEOUT;None;1 | 362;300.132;68954;TIMEOUT;None;1 | 362;300.142;68954;TIMEOUT;None;1 | 362;300.135;65623;TIMEOUT;None;1 | 362;300.131;66035
instance_30_10_4_31;TIMEOUT;None;6 | 375;300.132;72364;TIMEOUT;None;6 | 375;300.127;80221;TIMEOUT;None;6 | 375;300.132;80233;TIMEOUT;None;6 | 375;300.133;72814;TIMEOUT;None;6 | 375;300.131;67104;TIMEOUT;None;6 | 375;300.137;67116;TIMEOUT;None;6 | 375;300.13;63431;TIMEOUT;None;6 | 375;300.132;63881
instance_30_10_4_32;TIMEOUT;None;0 | 419;300.133;82138;TIMEOUT;None;0 | 419;300.13;89216;TIMEOUT;None;0 | 419;300.131;89232;TIMEOUT;None;0 | 419;300.13;82154;TIMEOUT;None;0 | 419;300.14;75930;TIMEOUT;None;0 | 419;300.14;75946;TIMEOUT;None;0 | 419;300.129;72511;TIMEOUT;None;0 | 419;300.131;72527
instance_30_10_4_33;TIMEOUT;None;0 | 433;300.128;70163;TIMEOUT;None;0 | 433;300.133;78410;TIMEOUT;None;0 | 433;300.139;78410;TIMEOUT;None;0 | 433;300.135;70604;TIMEOUT;None;0 | 433;300.14;65406;TIMEOUT;None;0 | 433;300.136;65406;TIMEOUT;None;0 | 433;300.129;61660;TIMEOUT;None;0 | 433;300.129;62101
instance_30_10_4_34;UNSATISFIABLE;None;;0.048;0;UNSATISFIABLE;None;;0.061;0;UNSATISFIABLE;None;;0.065;0;UNSATISFIABLE;None;;0.053;0;UNSATISFIABLE;None;;0.064;0;UNSATISFIABLE;None;;0.06;0;UNSATISFIABLE;None;;0.05;0;UNSATISFIABLE;None;;0.05;0
instance_30_10_4_35;UNSATISFIABLE;None;;0.043;0;UNSATISFIABLE;None;;0.054;0;UNSATISFIABLE;None;;0.054;0;UNSATISFIABLE;None;;0.047;0;UNSATISFIABLE;None;;0.05;0;UNSATISFIABLE;None;;0.042;0;UNSATISFIABLE;None;;0.033;0;UNSATISFIABLE;None;;0.037;0
instance_30_10_4_36;TIMEOUT;None;0 | 385;300.142;71974;TIMEOUT;None;0 | 385;300.136;78149;TIMEOUT;None;0 | 385;300.133;78160;TIMEOUT;None;0 | 385;300.132;72366;TIMEOUT;None;0 | 385;300.139;63933;TIMEOUT;None;0 | 385;300.135;63944;TIMEOUT;None;0 | 385;300.135;60914;TIMEOUT;None;0 | 385;300.138;61306
instance_30_10_4_37;TIMEOUT;None;0 | 433;300.133;73650;TIMEOUT;None;0 | 433;300.132;80887;TIMEOUT;None;0 | 433;300.133;80887;TIMEOUT;None;0 | 433;300.132;74071;TIMEOUT;None;0 | 433;300.143;68334;TIMEOUT;None;0 | 433;300.136;68334;TIMEOUT;None;0 | 433;300.129;64839;TIMEOUT;None;0 | 433;300.138;65260
instance_30_10_4_38;UNSATISFIABLE;None;;0.052;0;UNSATISFIABLE;None;;0.062;0;UNSATISFIABLE;None;;0.063;0;UNSATISFIABLE;None;;0.052;0;UNSATISFIABLE;None;;0.058;0;UNSATISFIABLE;None;;0.063;0;UNSATISFIABLE;None;;0.039;0;UNSATISFIABLE;None;;0.051;0
instance_30_10_4_39;UNSATISFIABLE;None;;0.046;0;UNSATISFIABLE;None;;0.055;0;UNSATISFIABLE;None;;0.051;0;UNSATISFIABLE;None;;0.047;0;UNSATISFIABLE;None;;0.054;0;UNSATISFIABLE;None;;0.05;0;UNSATISFIABLE;None;;0.035;0;UNSATISFIABLE;None;;0.049;0
