instance_name;weighted__ORIGINAL_status;weighted__ORIGINAL_weighted_reference;weighted__ORIGINAL_stages;weighted__ORIGINAL_elapsed_s;weighted__ORIGINAL_vars;weighted__SN-both-none_status;weighted__SN-both-none_weighted_reference;weighted__SN-both-none_stages;weighted__SN-both-none_elapsed_s;weighted__SN-both-none_vars;weighted__SN-both-ss_status;weighted__SN-both-ss_weighted_reference;weighted__SN-both-ss_stages;weighted__SN-both-ss_elapsed_s;weighted__SN-both-ss_vars;weighted__SN-none-ss_status;weighted__SN-none-ss_weighted_reference;weighted__SN-none-ss_stages;weighted__SN-none-ss_elapsed_s;weighted__SN-none-ss_vars;weighted__TOT-both-none_status;weighted__TOT-both-none_weighted_reference;weighted__TOT-both-none_stages;weighted__TOT-both-none_elapsed_s;weighted__TOT-both-none_vars;weighted__TOT-both-ss_status;weighted__TOT-both-ss_weighted_reference;weighted__TOT-both-ss_stages;weighted__TOT-both-ss_elapsed_s;weighted__TOT-both-ss_vars;weighted__TOT-none-none_status;weighted__TOT-none-none_weighted_reference;weighted__TOT-none-none_stages;weighted__TOT-none-none_elapsed_s;weighted__TOT-none-none_vars;weighted__TOT-none-ss_status;weighted__TOT-none-ss_weighted_reference;weighted__TOT-none-ss_stages;weighted__TOT-none-ss_elapsed_s;weighted__TOT-none-ss_vars
instance_30_10_4_3;UNSATISFIABLE;None;;0.049;0;UNSATISFIABLE;None;;0.066;0;UNSATISFIABLE;None;;0.077;0;UNSATISFIABLE;None;;0.052;0;UNSATISFIABLE;None;;0.053;0;UNSATISFIABLE;None;;0.053;0;UNSATISFIABLE;None;;0.049;0;UNSATISFIABLE;None;;0.051;0
instance_30_10_4_30;OPTIMUM;396.0;396;20.866;18708;OPTIMUM;396.0;396;17.108;25475;OPTIMUM;396.0;396;16.367;25475;OPTIMUM;396.0;396;25.786;19120;OPTIMUM;396.0;396;17.45;9751;OPTIMUM;396.0;396;18.795;9751;OPTIMUM;396.0;396;14.831;6420;OPTIMUM;396.0;396;17.935;6832
instance_30_10_4_31;OPTIMUM;372.0;372;9.942;14443;OPTIMUM;372.0;372;9.336;22300;OPTIMUM;372.0;372;7.124;22312;OPTIMUM;372.0;372;7.812;14893;OPTIMUM;372.0;372;7.643;9183;OPTIMUM;372.0;372;10.631;9195;OPTIMUM;372.0;372;7.362;5510;OPTIMUM;372.0;372;9.02;5960
instance_30_10_4_32;OPTIMUM;423.0;423;14.502;15717;OPTIMUM;423.0;423;9.493;22795;OPTIMUM;423.0;423;12.886;22811;OPTIMUM;423.0;423;10.906;15733;OPTIMUM;423.0;423;8.595;9509;OPTIMUM;423.0;423;9.097;9525;OPTIMUM;423.0;423;10.932;6090;OPTIMUM;423.0;423;10.914;6106
instance_30_10_4_33;OPTIMUM;434.0;434;14.385;14662;OPTIMUM;434.0;434;14.488;22909;OPTIMUM;434.0;434;28.441;22909;OPTIMUM;434.0;434;10.877;15103;OPTIMUM;434.0;434;14.531;9905;OPTIMUM;434.0;434;19.304;9905;OPTIMUM;434.0;434;20.135;6159;OPTIMUM;434.0;434;21.386;6600
instance_30_10_4_34;UNSATISFIABLE;None;;0.05;0;UNSATISFIABLE;None;;0.065;0;UNSATISFIABLE;None;;0.077;0;UNSATISFIABLE;None;;0.054;0;UNSATISFIABLE;None;;0.063;0;UNSATISFIABLE;None;;0.063;0;UNSATISFIABLE;None;;0.051;0;UNSATISFIABLE;None;;0.052;0
instance_30_10_4_35;UNSATISFIABLE;None;;0.045;0;UNSATISFIABLE;None;;0.057;0;UNSATISFIABLE;None;;0.067;0;UNSATISFIABLE;None;;0.049;0;UNSATISFIABLE;None;;0.052;0;UNSATISFIABLE;None;;0.05;0;UNSATISFIABLE;None;;0.044;0;UNSATISFIABLE;None;;0.044;0
instance_30_10_4_36;OPTIMUM;401.0;401;26.314;17953;OPTIMUM;401.0;401;26.413;24128;OPTIMUM;401.0;401;24.073;24139;OPTIMUM;401.0;401;27.808;18345;OPTIMUM;401.0;401;24.45;9912;OPTIMUM;401.0;401;20.417;9923;OPTIMUM;401.0;401;26.126;6893;OPTIMUM;401.0;401;22.1;7285
instance_30_10_4_37;OPTIMUM;440.0;440;10.613;15129;OPTIMUM;440.0;440;19.876;22366;OPTIMUM;440.0;440;14.092;22366;OPTIMUM;440.0;440;17.465;15550;OPTIMUM;440.0;440;16.264;9813;OPTIMUM;440.0;440;11.348;9813;OPTIMUM;440.0;440;10.475;6318;OPTIMUM;440.0;440;13.57;6739
instance_30_10_4_38;UNSATISFIABLE;None;;0.05;0;UNSATISFIABLE;None;;0.079;0;UNSATISFIABLE;None;;0.068;0;UNSATISFIABLE;None;;0.054;0;UNSATISFIABLE;None;;0.062;0;UNSATISFIABLE;None;;0.061;0;UNSATISFIABLE;None;;0.051;0;UNSATISFIABLE;None;;0.053;0
