instance_name;epsilon__delta_0.01__ORIGINAL_status;epsilon__delta_0.01__ORIGINAL_weighted_reference;epsilon__delta_0.01__ORIGINAL_stages;epsilon__delta_0.01__ORIGINAL_elapsed_s;epsilon__delta_0.01__ORIGINAL_vars;epsilon__delta_0.01__SN-both-none_status;epsilon__delta_0.01__SN-both-none_weighted_reference;epsilon__delta_0.01__SN-both-none_stages;epsilon__delta_0.01__SN-both-none_elapsed_s;epsilon__delta_0.01__SN-both-none_vars;epsilon__delta_0.01__SN-both-ss_status;epsilon__delta_0.01__SN-both-ss_weighted_reference;epsilon__delta_0.01__SN-both-ss_stages;epsilon__delta_0.01__SN-both-ss_elapsed_s;epsilon__delta_0.01__SN-both-ss_vars;epsilon__delta_0.01__SN-none-ss_status;epsilon__delta_0.01__SN-none-ss_weighted_reference;epsilon__delta_0.01__SN-none-ss_stages;epsilon__delta_0.01__SN-none-ss_elapsed_s;epsilon__delta_0.01__SN-none-ss_vars;epsilon__delta_0.01__TOT-both-none_status;epsilon__delta_0.01__TOT-both-none_weighted_reference;epsilon__delta_0.01__TOT-both-none_stages;epsilon__delta_0.01__TOT-both-none_elapsed_s;epsilon__delta_0.01__TOT-both-none_vars;epsilon__delta_0.01__TOT-both-ss_status;epsilon__delta_0.01__TOT-both-ss_weighted_reference;epsilon__delta_0.01__TOT-both-ss_stages;epsilon__delta_0.01__TOT-both-ss_elapsed_s;epsilon__delta_0.01__TOT-both-ss_vars;epsilon__delta_0.01__TOT-none-none_status;epsilon__delta_0.01__TOT-none-none_weighted_reference;epsilon__delta_0.01__TOT-none-none_stages;epsilon__delta_0.01__TOT-none-none_elapsed_s;epsilon__delta_0.01__TOT-none-none_vars;epsilon__delta_0.01__TOT-none-ss_status;epsilon__delta_0.01__TOT-none-ss_weighted_reference;epsilon__delta_0.01__TOT-none-ss_stages;epsilon__delta_0.01__TOT-none-ss_elapsed_s;epsilon__delta_0.01__TOT-none-ss_vars
instance_30_10_4_19;UNSATISFIABLE;None;;0.045;0;UNSATISFIABLE;None;;0.064;0;UNSATISFIABLE;None;;0.064;0;UNSATISFIABLE;None;;0.047;0;UNSATISFIABLE;None;;0.061;0;UNSATISFIABLE;None;;0.062;0;UNSATISFIABLE;None;;0.043;0;UNSATISFIABLE;None;;0.046;0
instance_30_10_4_2;UNSATISFIABLE;None;;0.055;0;UNSATISFIABLE;None;;0.076;0;UNSATISFIABLE;None;;0.075;0;UNSATISFIABLE;None;;0.058;0;UNSATISFIABLE;None;;0.062;0;UNSATISFIABLE;None;;0.063;0;UNSATISFIABLE;None;;0.045;0;UNSATISFIABLE;None;;0.047;0
instance_30_10_4_20;UNSATISFIABLE;None;;0.049;0;UNSATISFIABLE;None;;0.056;0;UNSATISFIABLE;None;;0.055;0;UNSATISFIABLE;None;;0.04;0;UNSATISFIABLE;None;;0.053;0;UNSATISFIABLE;None;;0.052;0;UNSATISFIABLE;None;;0.036;0;UNSATISFIABLE;None;;0.037;0
instance_30_10_4_21;UNSATISFIABLE;None;;0.057;0;UNSATISFIABLE;None;;0.079;0;UNSATISFIABLE;None;;0.085;0;UNSATISFIABLE;None;;0.06;0;UNSATISFIABLE;None;;0.063;0;UNSATISFIABLE;None;;0.066;0;UNSATISFIABLE;None;;0.045;0;UNSATISFIABLE;None;;0.047;0
instance_30_10_4_22;UNSATISFIABLE;None;;0.051;0;UNSATISFIABLE;None;;0.069;0;UNSATISFIABLE;None;;0.068;0;UNSATISFIABLE;None;;0.056;0;UNSATISFIABLE;None;;0.063;0;UNSATISFIABLE;None;;0.062;0;UNSATISFIABLE;None;;0.037;0;UNSATISFIABLE;None;;0.043;0
instance_30_10_4_23;TIMEOUT;None;382;300.121;17744;TIMEOUT;None;382;300.128;25135;TIMEOUT;None;382;300.125;25136;TIMEOUT;None;382;300.121;18163;TIMEOUT;None;382;300.125;9751;TIMEOUT;None;382;300.126;9752;TIMEOUT;None;382;300.126;6257;TIMEOUT;None;382;300.131;6676
instance_30_10_4_24;TIMEOUT;None;396;300.119;13402;TIMEOUT;None;396;300.121;20930;TIMEOUT;None;396;300.126;20933;TIMEOUT;None;396;300.12;13822;TIMEOUT;None;396;300.119;8812;TIMEOUT;None;396;300.117;8815;TIMEOUT;None;396;300.122;5370;TIMEOUT;None;396;300.122;5790
instance_30_10_4_25;TIMEOUT;None;446;300.133;17704;TIMEOUT;None;446;300.128;25018;TIMEOUT;None;446;300.137;25021;TIMEOUT;None;446;300.133;18132;TIMEOUT;None;446;300.134;10405;TIMEOUT;None;446;300.135;10408;TIMEOUT;None;446;300.13;6809;TIMEOUT;None;446;300.131;7237
instance_30_10_4_26;UNSATISFIABLE;None;;0.059;0;UNSATISFIABLE;None;;0.086;0;UNSATISFIABLE;None;;0.088;0;UNSATISFIABLE;None;;0.063;0;UNSATISFIABLE;None;;0.073;0;UNSATISFIABLE;None;;0.073;0;UNSATISFIABLE;None;;0.049;0;UNSATISFIABLE;None;;0.059;0
instance_30_10_4_27;TIMEOUT;None;405;300.124;13839;TIMEOUT;None;405;300.119;20862;TIMEOUT;None;405;300.126;20867;TIMEOUT;None;405;300.123;14266;TIMEOUT;None;405;300.125;8639;TIMEOUT;None;405;300.124;8644;TIMEOUT;None;405;300.126;5189;TIMEOUT;None;405;300.126;5616
instance_30_10_4_28;UNSATISFIABLE;None;;0.028;0;UNSATISFIABLE;None;;0.038;0;UNSATISFIABLE;None;;0.038;0;UNSATISFIABLE;None;;0.031;0;UNSATISFIABLE;None;;0.034;0;UNSATISFIABLE;None;;0.036;0;UNSATISFIABLE;None;;0.026;0;UNSATISFIABLE;None;;0.027;0
instance_30_10_4_29;UNSATISFIABLE;None;;0.05;0;UNSATISFIABLE;None;;0.065;0;UNSATISFIABLE;None;;0.064;0;UNSATISFIABLE;None;;0.052;0;UNSATISFIABLE;None;;0.054;0;UNSATISFIABLE;None;;0.055;0;UNSATISFIABLE;None;;0.038;0;UNSATISFIABLE;None;;0.039;0
instance_30_10_4_3;UNSATISFIABLE;None;;0.037;0;UNSATISFIABLE;None;;0.065;0;UNSATISFIABLE;None;;0.063;0;UNSATISFIABLE;None;;0.051;0;UNSATISFIABLE;None;;0.055;0;UNSATISFIABLE;None;;0.054;0;UNSATISFIABLE;None;;0.037;0;UNSATISFIABLE;None;;0.041;0
instance_30_10_4_30;TIMEOUT;None;407;300.127;18708;TIMEOUT;None;407;300.127;25475;TIMEOUT;None;407;300.133;25475;TIMEOUT;None;407;300.132;19120;TIMEOUT;None;407;300.135;9751;TIMEOUT;None;407;300.132;9751;TIMEOUT;None;407;300.126;6420;TIMEOUT;None;407;300.134;6832
instance_30_10_4_31;TIMEOUT;None;381;300.121;14443;TIMEOUT;None;381;300.127;22300;TIMEOUT;None;381;300.121;22312;TIMEOUT;None;381;300.128;14893;TIMEOUT;None;381;300.123;9183;TIMEOUT;None;381;300.127;9195;TIMEOUT;None;381;300.121;5510;TIMEOUT;None;381;300.12;5960
instance_30_10_4_32;TIMEOUT;None;424;300.128;15717;TIMEOUT;None;424;300.124;22795;TIMEOUT;None;424;300.129;22811;TIMEOUT;None;424;300.123;15733;TIMEOUT;None;424;300.127;9509;TIMEOUT;None;424;300.123;9525;TIMEOUT;None;424;300.125;6090;TIMEOUT;None;424;300.129;6106
instance_30_10_4_33;TIMEOUT;None;436;300.127;14662;TIMEOUT;None;436;300.127;22909;TIMEOUT;None;436;300.129;22909;TIMEOUT;None;436;300.129;15103;TIMEOUT;None;436;300.132;9905;TIMEOUT;None;436;300.127;9905;TIMEOUT;None;436;300.123;6159;TIMEOUT;None;436;300.123;6600
instance_30_10_4_34;UNSATISFIABLE;None;;0.051;0;UNSATISFIABLE;None;;0.066;0;UNSATISFIABLE;None;;0.064;0;UNSATISFIABLE;None;;0.053;0;UNSATISFIABLE;None;;0.065;0;UNSATISFIABLE;None;;0.065;0;UNSATISFIABLE;None;;0.051;0;UNSATISFIABLE;None;;0.054;0
instance_30_10_4_35;UNSATISFIABLE;None;;0.037;0;UNSATISFIABLE;None;;0.056;0;UNSATISFIABLE;None;;0.056;0;UNSATISFIABLE;None;;0.05;0;UNSATISFIABLE;None;;0.042;0;UNSATISFIABLE;None;;0.054;0;UNSATISFIABLE;None;;0.031;0;UNSATISFIABLE;None;;0.036;0
instance_30_10_4_36;TIMEOUT;None;410;300.132;17953;TIMEOUT;None;410;300.127;24128;TIMEOUT;None;410;300.125;24139;TIMEOUT;None;410;300.132;18345;TIMEOUT;None;410;300.141;9912;TIMEOUT;None;410;300.138;9923;TIMEOUT;None;410;300.131;6893;TIMEOUT;None;410;300.132;7285
instance_30_10_4_37;TIMEOUT;None;444;300.129;15129;TIMEOUT;None;444;300.13;22366;TIMEOUT;None;444;300.126;22366;TIMEOUT;None;444;300.126;15550;TIMEOUT;None;444;300.125;9813;TIMEOUT;None;444;300.124;9813;TIMEOUT;None;444;300.131;6318;TIMEOUT;None;444;300.132;6739
instance_30_10_4_38;UNSATISFIABLE;None;;0.052;0;UNSATISFIABLE;None;;0.067;0;UNSATISFIABLE;None;;0.067;0;UNSATISFIABLE;None;;0.055;0;UNSATISFIABLE;None;;0.064;0;UNSATISFIABLE;None;;0.065;0;UNSATISFIABLE;None;;0.041;0;UNSATISFIABLE;None;;0.052;0
instance_30_10_4_39;UNSATISFIABLE;None;;0.046;0;UNSATISFIABLE;None;;0.056;0;UNSATISFIABLE;None;;0.055;0;UNSATISFIABLE;None;;0.039;0;UNSATISFIABLE;None;;0.055;0;UNSATISFIABLE;None;;0.054;0;UNSATISFIABLE;None;;0.033;0;UNSATISFIABLE;None;;0.05;0
instance_30_10_4_4;TIMEOUT;None;431;300.125;14595;TIMEOUT;None;431;300.125;21770;TIMEOUT;None;431;300.12;21790;TIMEOUT;None;431;300.126;15032;TIMEOUT;None;431;300.121;9388;TIMEOUT;None;431;300.13;9408;TIMEOUT;None;431;300.121;5914;TIMEOUT;None;431;300.121;6351
instance_30_10_4_40;UNSATISFIABLE;None;;0.048;0;UNSATISFIABLE;None;;0.073;0;UNSATISFIABLE;None;;0.063;0;UNSATISFIABLE;None;;0.04;0;UNSATISFIABLE;None;;0.059;0;UNSATISFIABLE;None;;0.061;0;UNSATISFIABLE;None;;0.037;0;UNSATISFIABLE;None;;0.04;0
instance_30_10_4_41;TIMEOUT;None;358;300.122;8502;TIMEOUT;None;358;300.118;15610;TIMEOUT;None;358;300.118;15634;TIMEOUT;None;358;300.118;8928;TIMEOUT;None;358;300.12;7617;TIMEOUT;None;358;300.122;7641;TIMEOUT;None;358;300.114;4270;TIMEOUT;None;358;300.117;4696
instance_30_10_4_42;UNSATISFIABLE;None;;0.05;0;UNSATISFIABLE;None;;0.066;0;UNSATISFIABLE;None;;0.064;0;UNSATISFIABLE;None;;0.052;0;UNSATISFIABLE;None;;0.067;0;UNSATISFIABLE;None;;0.065;0;UNSATISFIABLE;None;;0.04;0;UNSATISFIABLE;None;;0.054;0
instance_30_10_4_43;TIMEOUT;None;419;300.129;18422;TIMEOUT;None;419;300.13;24965;TIMEOUT;None;419;300.126;24971;TIMEOUT;None;419;300.126;18822;TIMEOUT;None;419;300.128;9509;TIMEOUT;None;419;300.128;9515;TIMEOUT;None;419;300.125;6319;TIMEOUT;None;419;300.131;6719
instance_30_10_4_44;UNSATISFIABLE;None;;0.068;0;UNSATISFIABLE;None;;0.096;0;UNSATISFIABLE;None;;0.095;0;UNSATISFIABLE;None;;0.071;0;UNSATISFIABLE;None;;0.065;0;UNSATISFIABLE;None;;0.067;0;UNSATISFIABLE;None;;0.046;0;UNSATISFIABLE;None;;0.06;0
instance_30_10_4_45;TIMEOUT;None;371;300.12;14403;TIMEOUT;None;371;300.119;21803;TIMEOUT;None;371;300.12;21811;TIMEOUT;None;371;300.121;14833;TIMEOUT;None;371;300.125;9031;TIMEOUT;None;371;300.128;9039;TIMEOUT;None;371;300.123;5480;TIMEOUT;None;371;300.118;5910
instance_30_10_4_46;UNSATISFIABLE;None;;0.027;0;UNSATISFIABLE;None;;0.041;0;UNSATISFIABLE;None;;0.041;0;UNSATISFIABLE;None;;0.03;0;UNSATISFIABLE;None;;0.038;0;UNSATISFIABLE;None;;0.038;0;UNSATISFIABLE;None;;0.027;0;UNSATISFIABLE;None;;0.029;0
instance_30_10_4_47;TIMEOUT;None;399;300.118;11712;TIMEOUT;None;399;300.122;18969;TIMEOUT;None;399;300.118;18986;TIMEOUT;None;399;300.117;12154;TIMEOUT;None;399;300.117;8528;TIMEOUT;None;399;300.121;8545;TIMEOUT;None;399;300.126;4993;TIMEOUT;None;399;300.116;5435
instance_30_10_4_48;TIMEOUT;None;377;300.119;10175;TIMEOUT;None;377;300.118;17133;TIMEOUT;None;377;300.123;17133;TIMEOUT;None;377;300.123;10589;TIMEOUT;None;377;300.121;7845;TIMEOUT;None;377;300.118;7845;TIMEOUT;None;377;300.115;4368;TIMEOUT;None;377;300.113;4782
instance_30_10_4_49;UNSATISFIABLE;None;;0.067;0;UNSATISFIABLE;None;;0.078;0;UNSATISFIABLE;None;;0.079;0;UNSATISFIABLE;None;;0.06;0;UNSATISFIABLE;None;;0.074;0;UNSATISFIABLE;None;;0.075;0;UNSATISFIABLE;None;;0.048;0;UNSATISFIABLE;None;;0.06;0
instance_30_10_4_5;TIMEOUT;None;424;300.117;13334;TIMEOUT;None;424;300.127;19570;TIMEOUT;None;424;300.124;19574;TIMEOUT;None;424;300.12;13721;TIMEOUT;None;424;300.12;8660;TIMEOUT;None;424;300.124;8664;TIMEOUT;None;424;300.122;5528;TIMEOUT;None;424;300.122;5915
