instance_name;epsilon__delta_0__ORIGINAL_status;epsilon__delta_0__ORIGINAL_weighted_reference;epsilon__delta_0__ORIGINAL_stages;epsilon__delta_0__ORIGINAL_elapsed_s;epsilon__delta_0__ORIGINAL_vars;epsilon__delta_0__SN-both-none_status;epsilon__delta_0__SN-both-none_weighted_reference;epsilon__delta_0__SN-both-none_stages;epsilon__delta_0__SN-both-none_elapsed_s;epsilon__delta_0__SN-both-none_vars;epsilon__delta_0__SN-both-ss_status;epsilon__delta_0__SN-both-ss_weighted_reference;epsilon__delta_0__SN-both-ss_stages;epsilon__delta_0__SN-both-ss_elapsed_s;epsilon__delta_0__SN-both-ss_vars;epsilon__delta_0__SN-none-ss_status;epsilon__delta_0__SN-none-ss_weighted_reference;epsilon__delta_0__SN-none-ss_stages;epsilon__delta_0__SN-none-ss_elapsed_s;epsilon__delta_0__SN-none-ss_vars;epsilon__delta_0__TOT-both-none_status;epsilon__delta_0__TOT-both-none_weighted_reference;epsilon__delta_0__TOT-both-none_stages;epsilon__delta_0__TOT-both-none_elapsed_s;epsilon__delta_0__TOT-both-none_vars;epsilon__delta_0__TOT-both-ss_status;epsilon__delta_0__TOT-both-ss_weighted_reference;epsilon__delta_0__TOT-both-ss_stages;epsilon__delta_0__TOT-both-ss_elapsed_s;epsilon__delta_0__TOT-both-ss_vars;epsilon__delta_0__TOT-none-none_status;epsilon__delta_0__TOT-none-none_weighted_reference;epsilon__delta_0__TOT-none-none_stages;epsilon__delta_0__TOT-none-none_elapsed_s;epsilon__delta_0__TOT-none-none_vars;epsilon__delta_0__TOT-none-ss_status;epsilon__delta_0__TOT-none-ss_weighted_reference;epsilon__delta_0__TOT-none-ss_stages;epsilon__delta_0__TOT-none-ss_elapsed_s;epsilon__delta_0__TOT-none-ss_vars
instance_30_10_4_31;TIMEOUT;None;381;300.124;14443;TIMEOUT;None;381;300.122;22300;TIMEOUT;None;381;300.125;22312;TIMEOUT;None;381;300.119;14893;TIMEOUT;None;381;300.12;9183;TIMEOUT;None;381;300.123;9195;TIMEOUT;None;381;300.125;5510;TIMEOUT;None;381;300.129;5960
instance_30_10_4_32;TIMEOUT;None;424;300.124;15717;TIMEOUT;None;424;300.131;22795;TIMEOUT;None;424;300.125;22811;TIMEOUT;None;424;300.119;15733;TIMEOUT;None;424;300.125;9509;TIMEOUT;None;424;300.127;9525;TIMEOUT;None;424;300.122;6090;TIMEOUT;None;424;300.121;6106
instance_30_10_4_33;TIMEOUT;None;436;300.125;14662;TIMEOUT;None;436;300.123;22909;TIMEOUT;None;436;300.132;22909;TIMEOUT;None;436;300.12;15103;TIMEOUT;None;436;300.125;9905;TIMEOUT;None;436;300.128;9905;TIMEOUT;None;436;300.127;6159;TIMEOUT;None;436;300.124;6600
instance_30_10_4_34;UNSATISFIABLE;None;;0.037;0;UNSATISFIABLE;None;;0.065;0;UNSATISFIABLE;None;;0.067;0;UNSATISFIABLE;None;;0.038;0;UNSATISFIABLE;None;;0.058;0;UNSATISFIABLE;None;;0.06;0;UNSATISFIABLE;None;;0.037;0;UNSATISFIABLE;None;;0.039;0
instance_30_10_4_35;UNSATISFIABLE;None;;0.032;0;UNSATISFIABLE;None;;0.055;0;UNSATISFIABLE;None;;0.057;0;UNSATISFIABLE;None;;0.032;0;UNSATISFIABLE;None;;0.037;0;UNSATISFIABLE;None;;0.039;0;UNSATISFIABLE;None;;0.032;0;UNSATISFIABLE;None;;0.032;0
instance_30_10_4_36;TIMEOUT;None;410;300.129;17953;TIMEOUT;None;410;300.136;24128;TIMEOUT;None;410;300.127;24139;TIMEOUT;None;410;300.128;18345;TIMEOUT;None;410;300.132;9912;TIMEOUT;None;410;300.128;9923;TIMEOUT;None;410;300.126;6893;TIMEOUT;None;410;300.129;7285
instance_30_10_4_37;TIMEOUT;None;444;300.13;15129;TIMEOUT;None;444;300.127;22366;TIMEOUT;None;444;300.13;22366;TIMEOUT;None;444;300.128;15550;TIMEOUT;None;444;300.126;9813;TIMEOUT;None;444;300.134;9813;TIMEOUT;None;444;300.129;6318;TIMEOUT;None;444;300.124;6739
instance_30_10_4_38;UNSATISFIABLE;None;;0.038;0;UNSATISFIABLE;None;;0.068;0;UNSATISFIABLE;None;;0.068;0;UNSATISFIABLE;None;;0.05;0;UNSATISFIABLE;None;;0.057;0;UNSATISFIABLE;None;;0.06;0;UNSATISFIABLE;None;;0.038;0;UNSATISFIABLE;None;;0.039;0
instance_30_10_4_39;UNSATISFIABLE;None;;0.033;0;UNSATISFIABLE;None;;0.056;0;UNSATISFIABLE;None;;0.058;0;UNSATISFIABLE;None;;0.034;0;UNSATISFIABLE;None;;0.051;0;UNSATISFIABLE;None;;0.051;0;UNSATISFIABLE;None;;0.034;0;UNSATISFIABLE;None;;0.035;0
instance_30_10_4_4;TIMEOUT;None;431;300.124;14595;TIMEOUT;None;431;300.13;21770;TIMEOUT;None;431;300.124;21790;TIMEOUT;None;431;300.125;15032;TIMEOUT;None;431;300.125;9388;TIMEOUT;None;431;300.122;9408;TIMEOUT;None;431;300.122;5914;TIMEOUT;None;431;300.121;6351
instance_30_10_4_40;UNSATISFIABLE;None;;0.036;0;UNSATISFIABLE;None;;0.072;0;UNSATISFIABLE;None;;0.074;0;UNSATISFIABLE;None;;0.037;0;UNSATISFIABLE;None;;0.055;0;UNSATISFIABLE;None;;0.056;0;UNSATISFIABLE;None;;0.036;0;UNSATISFIABLE;None;;0.037;0
instance_30_10_4_41;TIMEOUT;None;358;300.118;8502;TIMEOUT;None;358;300.118;15610;TIMEOUT;None;358;300.118;15634;TIMEOUT;None;358;300.113;8928;TIMEOUT;None;358;300.115;7617;TIMEOUT;None;358;300.121;7641;TIMEOUT;None;358;300.118;4270;TIMEOUT;None;358;300.121;4696
instance_30_10_4_42;UNSATISFIABLE;None;;0.035;0;UNSATISFIABLE;None;;0.065;0;UNSATISFIABLE;None;;0.067;0;UNSATISFIABLE;None;;0.038;0;UNSATISFIABLE;None;;0.058;0;UNSATISFIABLE;None;;0.06;0;UNSATISFIABLE;None;;0.037;0;UNSATISFIABLE;None;;0.038;0
instance_30_10_4_43;TIMEOUT;None;419;300.126;18422;TIMEOUT;None;419;300.13;24965;TIMEOUT;None;419;300.129;24971;TIMEOUT;None;419;300.13;18822;TIMEOUT;None;419;300.127;9509;TIMEOUT;None;419;300.126;9515;TIMEOUT;None;419;300.127;6319;TIMEOUT;None;419;300.126;6719
instance_30_10_4_44;UNSATISFIABLE;None;;0.064;0;UNSATISFIABLE;None;;0.096;0;UNSATISFIABLE;None;;0.097;0;UNSATISFIABLE;None;;0.056;0;UNSATISFIABLE;None;;0.061;0;UNSATISFIABLE;None;;0.062;0;UNSATISFIABLE;None;;0.045;0;UNSATISFIABLE;None;;0.046;0
instance_30_10_4_45;TIMEOUT;None;371;300.117;14403;TIMEOUT;None;371;300.127;21803;TIMEOUT;None;371;300.128;21811;TIMEOUT;None;371;300.118;14833;TIMEOUT;None;371;300.124;9031;TIMEOUT;None;371;300.122;9039;TIMEOUT;None;371;300.128;5480;TIMEOUT;None;371;300.123;5910
instance_30_10_4_46;UNSATISFIABLE;None;;0.025;0;UNSATISFIABLE;None;;0.05;0;UNSATISFIABLE;None;;0.051;0;UNSATISFIABLE;None;;0.027;0;UNSATISFIABLE;None;;0.033;0;UNSATISFIABLE;None;;0.034;0;UNSATISFIABLE;None;;0.024;0;UNSATISFIABLE;None;;0.026;0
instance_30_10_4_47;TIMEOUT;None;399;300.118;11712;TIMEOUT;None;399;300.122;18969;TIMEOUT;None;399;300.122;18986;TIMEOUT;None;399;300.123;12154;TIMEOUT;None;399;300.12;8528;TIMEOUT;None;399;300.122;8545;TIMEOUT;None;399;300.116;4993;TIMEOUT;None;399;300.117;5435
instance_30_10_4_48;TIMEOUT;None;377;300.121;10175;TIMEOUT;None;377;300.121;17133;TIMEOUT;None;377;300.116;17133;TIMEOUT;None;377;300.116;10589;TIMEOUT;None;377;300.117;7845;TIMEOUT;None;377;300.114;7845;TIMEOUT;None;377;300.119;4368;TIMEOUT;None;377;300.12;4782
instance_30_10_4_49;UNSATISFIABLE;None;;0.065;0;UNSATISFIABLE;None;;0.079;0;UNSATISFIABLE;None;;0.079;0;UNSATISFIABLE;None;;0.054;0;UNSATISFIABLE;None;;0.069;0;UNSATISFIABLE;None;;0.068;0;UNSATISFIABLE;None;;0.044;0;UNSATISFIABLE;None;;0.047;0
instance_30_10_4_5;TIMEOUT;None;424;300.123;13334;TIMEOUT;None;424;300.123;19570;TIMEOUT;None;424;300.125;19574;TIMEOUT;None;424;300.122;13721;TIMEOUT;None;424;300.126;8660;TIMEOUT;None;424;300.124;8664;TIMEOUT;None;424;300.125;5528;TIMEOUT;None;424;300.124;5915
